id	reference_destination	reference_template	html_element	js_handler	js_api_operation	python_route	python_backend_operation	java_destination	java_control	java_handler	java_facade	db_index_operation	expected_visible_result	test	status	note
K11	Keywords	Keyword/keywords_list.html	#selectAllCheckbox, Delete Selected	toggleSelectAll, bulkDelete	POST /api/keywords/bulk-delete	keywords.bulk_delete	DELETE IN	Keywords	multi-select + Delete Selected	KeywordsScreen#build	KeywordFacade#bulkDeleteKeywords	CorpusDatabase#deleteKeyword	Confirmation, then rows removed	FacadeParityTest	VERIFIED	
K12	Keywords	Keyword/keywords_list.html	#bulkUpdateBtn	bulkUpdate	(none)	(none)	(none)	Keywords	(none)	(none)	(none)	(none)	Nothing happens in the reference	UiParityTest	REFERENCE-INERT	The reference handler assigns a category client-side and never posts it; reproducing a control that does nothing would be a fake feature.
K13	Keywords	Keyword/keywords_list.html	#updateKeywordsBtn Update associations	updateKeywordAssociations	POST /api/keywords/update-associations	keywords.update_keyword_associations	contents -> extract_keywords_fast -> keywords_paths	Search	Update associations	SearchScreen#updateAssociations	RelationshipAnalyzer#analyzeAll	CorpusDatabase#clearDerivedRelations, linkPathToKeyword, linkPathToWord	Label reports files scanned and links written; counts refresh	RelationshipModelTest#duplicateRelationship	VERIFIED	
K14	Keywords	Keyword/keywords_list.html	Export	exportKeywords	(client CSV)	(none)	(none)	Keywords	Export CSV	KeywordsScreen#build	ExportFacade#exportTermsCsv	RelationshipFacade#keywords	CSV with id, text, normalized, word_count, file_count saved where chosen	FacadeParityTest	VERIFIED	
K15	Keywords	Keyword/keywords_list.html	Add Keyword modal, Save	openAddKeywordModal, saveKeyword	POST /api/keyword/check then POST /keywords/add	keywords.keyword_check, keywords.keywords_add	validate_keyword_text, INSERT keywords	Keywords	Add Keyword dialog	KeywordsScreen#openForm	KeywordFacade#createKeyword	CorpusDatabase#insertKeyword	New row; fewer than three words refused with a message	RelationshipModelTest#invariants	VERIFIED	
K16	Keywords	Keyword/keywords_list.html	#keywordWordInput autocomplete	searchWordsForKeyword	GET /api/words/search?q=	words.api_words	words ILIKE	Keywords	phrase text field	KeywordsScreen#openForm	Terms#requireKeyword	(validation only)	Phrase typed directly and validated	RelationshipModelTest#invariants	ADAPTED	The reference builds a keyword from word ids chosen one at a time; here the phrase is typed and validated. Same stored result.
K17	Keywords	Keyword/keywords_list.html	#keywordCategoryInput autocomplete	searchCategoriesForKeyword	GET /api/categories/search?q=	categories.api_categories_search	categorys JOIN words ILIKE	Keywords	category ComboBox	KeywordsScreen#openForm	CategoryFacade#listCategories	CorpusDatabase#selectAllCategories	Only existing categories offered	FacadeParityTest	VERIFIED	
KD1	Keyword detail	Keyword/keyword_detail.html	id, usage_count, file_types, text, last_used	(server-rendered)	GET /keywords/<id>	keywords.keyword_detail	keywords_paths COUNT, DISTINCT file_type	Keyword Detail	heading, stat cards	TermDetailScreen#onShow	RelationshipFacade#keyword	CorpusDatabase#countFilesForKeyword	Phrase, word count, normalised form, Related Files count	RelationshipModelTest#keywordBidirectional	VERIFIED	
KD2	Keyword detail	Keyword/keyword_detail.html	(no file list in reference)	(none)	(none)	(none)	keywords_paths (queryable, not shown)	Keyword Detail	Related Files table	TermDetailScreen#build	RelationshipFacade#filesForKeyword	CorpusDatabase#selectFilesForKeyword	File, path, source, type, hits; double-click opens File Detail	RelationshipModelTest#keywordBidirectional	VERIFIED	
KD3	Keyword detail	Keyword/keyword_detail.html	category name	(server-rendered)	GET /keywords/<id>	keywords.keyword_detail	keywords.category	Keyword Detail	Categories chip	TermDetailScreen#build	RelationshipFacade#keyword	CorpusDatabase#selectCategoryById	Chip with the category's own file count; click opens Category Detail	RelationshipModelTest#termToTerm	VERIFIED	
KD4	Keyword detail	Keyword/keyword_detail.html	Edit (href /keywords/add?keyword_id=)	navigation	GET /keywords/add	keywords.keywords_add	UPDATE keywords	Keyword Detail	Open in list	TermDetailScreen#build	KeywordFacade#updateKeyword	CorpusDatabase#updateKeyword	Returns to Keywords where the pencil edits	FacadeParityTest	ADAPTED	Editing happens in the list row rather than a separate add page.
KD5	Keyword detail	Keyword/keyword_detail.html	Delete	deleteKeyword	DELETE /api/keywords/<id>	keywords.delete_keyword_api	DELETE keywords	Keywords	trash button	KeywordsScreen#build	KeywordFacade#deleteKeyword	CorpusDatabase#deleteKeyword	Deleted from the list	FacadeParityTest	ADAPTED	Delete is offered on the list row, not on the detail page.
KD6	Keyword detail	Keyword/keyword_detail.html	Back	navigation	GET /keywords	keywords.keywords_list	(none)	Keyword Detail	Back to Keywords	TermDetailScreen#build	FasApp#open	(none)	Keywords list shown	ArchitectureInvariantsTest#everyControlEndsInAnOperation	VERIFIED	
KD7	Keyword detail	(none)	(none)	(none)	(none)	(none)	(none)	Keyword Detail	Search for this term	TermDetailScreen#build	FasApp#openSearch	LiveCase#searchNow	Search runs with the quoted phrase	EndToEndScenarioTest	VERIFIED	
C01	Categories	Category/categories_list.html	row file_count / word_count	renderTableView	GET /categories	categories.categories_list	COUNT(DISTINCT p.id), COUNT(DISTINCT wc.word_id)	Categories	Files column; words pane header	CategoriesScreen#onShow	RelationshipFacade#categoryFileCounts	CorpusDatabase#selectCategoriesWithFileCounts	Distinct files reached through any of the category's words, whole case	RelationshipModelTest#categoryBidirectional	VERIFIED	
C02	Categories	Category/categories_list.html	#categorySearch	applyFiltersAndRender	(client-side)	(none)	(none)	Search	Scope=Category	SearchScreen#runRelationshipSearch	RelationshipFacade#search	CorpusDatabase#selectCategoriesMatching	Files reached through matching categories, match type CATEGORY	RelationshipModelTest#searchByCategoryAndWord	ADAPTED	Category text search is on the Search destination; the list shows up to 500 categories at once.
C03	Categories	Category/categories_list.html	#sortBy, #sortBtn-name/-files/-words	sortCategories, sortByColumn	(client-side)	(none)	(none)	Categories	table header	CategoriesScreen#build	CategoryFacade#listCategories	in-memory sort	Rows reorder	UiParityTest	VERIFIED	
C04	Categories	Category/categories_list.html	#displayFormat table/grid/list/compact	changeDisplayFormat	(client-side)	(none)	(none)	Categories	(table only)	CategoriesScreen#build	(none)	(none)	Table view only	UiParityTest	UNSUPPORTED	Alternative render formats of the same rows carry no additional information; one table is kept.
C05	Categories	Category/categories_list.html	#itemsPerPage, #pagination	changePageSize, changePage	(client-side)	(none)	(none)	Categories	(none)	CategoriesScreen#onShow	CategoryFacade#listCategories	CorpusDatabase#selectAllCategories	Up to 500 categories in one scrollable table	FacadeParityTest	ADAPTED	Categories are few; a single table replaces client-side paging.
C06	Categories	Category/categories_list.html	View Words (href /categories/id/words)	viewCategoryWords	GET /categories/<id>/words	categories.category_words	words_categorys JOIN words	Categories	select row -> Category Words pane	CategoriesScreen#loadWords	CategoryFacade#getCategoryWords	CorpusDatabase#selectCategoryWords	Right pane lists the words with per-word file badges	DestinationCoverageTest	VERIFIED	
C07	Categories	Category/categories_list.html	Add word to category, Save	addWordToCategory, saveWordToCategory	POST /api/words-categorys/add	categories.words_categorys_add	INSERT words, INSERT words_categorys	Categories	Link Word	CategoriesScreen#build	CategoryFacade#linkWordToCategory	CorpusDatabase#linkWordToCategory	Word appears in the pane; multi-word input refused	RelationshipModelTest#invariants	VERIFIED	
C08	Categories	Category/categories_list.html	Add Category modal, Save	openCategoryModal, saveCategory	POST /api/category/check then POST /category/add	categories.category_check, categories.category_add	INSERT words, INSERT categorys	Categories	Add Category	CategoriesScreen#build	CategoryFacade#createCategory	CorpusDatabase#insertCategory	New row; multi-word refused with a message	RelationshipModelTest#invariants	VERIFIED	
C09	Categories	Category/categories_list.html	delete	deleteCategory	DELETE /api/categories/<id>	categories.api_delete_category	DELETE categorys	Categories	trash button	CategoriesScreen#build	CategoryFacade#deleteCategory	CorpusDatabase#deleteCategory	Row disappears	FacadeParityTest	VERIFIED	
C10	Categories	Category/categories_list.html	Find duplicates / Remove duplicates	findDuplicates, removeDuplicates	GET /api/categories/find-duplicates, POST /api/categories/remove-duplicates	categories.api_find_duplicate_categories, categories.api_remove_duplicate_categories	LOWER(word) groups	Categories	Find Duplicates	CategoriesScreen#build	CategoryFacade#mergeDuplicates	CorpusDatabase#mergeCategory	Groups listed; on confirm merged into the oldest, words/keywords/attributions moved	RelationshipModelTest#mergeDuplicates	VERIFIED	
C11	Categories	Category/categories_list.html	Export	exportCategories	(client CSV)	(none)	(none)	Categories	Export CSV	CategoriesScreen#build	ExportFacade#exportTermsCsv	RelationshipFacade#categories	CSV of every category with whole-case file counts	FacadeParityTest	VERIFIED	
C12	Categories	Category/categories_list.html	#totalCategoriesCount	updateCounts	(client-side)	(none)	(none)	Categories	count label	CategoriesScreen#onShow	CategoryFacade#listCategories	CorpusDatabase#countCategories	N categories	FacadeParityTest	VERIFIED	
C13	Categories	(none)	(none)	(none)	(none)	(none)	(none)	Categories	eye button / double-click row	CategoriesScreen#build	RelationshipFacade#category	CorpusDatabase#selectFilesForCategory	Category Detail opens	RelationshipModelTest#categoryBidirectional	VERIFIED	
CW1	Category words	Category/category_words.html	word rows id, text	(server-rendered)	GET /categories/<id>/words	categories.category_words	words_categorys JOIN words	Categories	Category Words ListView	CategoriesScreen#loadWords	CategoryFacade#getCategoryWords	CorpusDatabase#selectCategoryWords	Words of the selected category	DestinationCoverageTest	VERIFIED	
CW2	Category words	Category/category_words.html	(no per-word count in reference)	(none)	(none)	(none)	words_paths (queryable, not shown)	Categories	N files badge per word	CategoriesScreen#loadWords	RelationshipFacade#wordFileCounts	CorpusDatabase#selectCategoryWordsWithFileCounts	Badge with COUNT(DISTINCT path_id) per word	RelationshipModelTest#categoryWordBidirectional	VERIFIED	
CW3	Category words	Category/category_words.html	#wordSearch autocomplete, Save	searchWords, selectWord, saveWordToCategory	GET /api/words/search, POST /api/words-categorys/add	words.api_words, categories.words_categorys_add	INSERT OR IGNORE words_categorys	Categories	Link Word dialog	CategoriesScreen#build	CategoryFacade#linkWordToCategory	CorpusDatabase#linkWordToCategory	Word linked, created first if new	RelationshipModelTest#invariants	ADAPTED	Direct entry instead of autocomplete; the stored result is identical.
CW4	Category words	Category/category_words.html	remove	removeWord	DELETE /api/categories/<id>/words/<word_id>	categories.api_remove_word_from_category	DELETE words_categorys	Categories	Remove Word	CategoriesScreen#build	CategoryFacade#removeWordFromCategory	CorpusDatabase#unlinkWordFromCategory	Word leaves the pane; category file count refreshes	FacadeParityTest	VERIFIED	
CW5	Category words	Category/category_words.html	#sortBtn-word, #displayFormat, pagination, Export	sortByColumn, sortWords, exportWords	(client-side)	(none)	(none)	Words	Export CSV	WordsScreen#build	ExportFacade#exportTermsCsv	RelationshipFacade#categoryWords	All category words exported with counts	FacadeParityTest	ADAPTED	Export is offered on the Words destination for the whole vocabulary rather than per category.
CW6	Category words	(none)	(none)	(none)	(none)	(none)	(none)	Categories	double-click word	CategoriesScreen#build	RelationshipFacade#categoryWord	CorpusDatabase#selectFilesForWord	Word Detail opens	RelationshipModelTest#categoryWordBidirectional	VERIFIED	
W01	Words	Word/Word_list.html	#searchWords	fetchPage	GET /api/words?q=	words.api_words	words ILIKE	Words	search field	WordsScreen#onShow	WordFacade#searchWords	CorpusDatabase#searchWords	Rows filtered by substring	FacadeParityTest	VERIFIED	
W02	Words	Word/Word_list.html	row usage_count	renderRows	GET /api/words	COUNT(DISTINCT wp.path_id)	words_paths	Words	Files column	WordsScreen#onShow	RelationshipFacade#wordFileCounts	CorpusDatabase#selectCategoryWordsWithFileCounts	Whole-case count; a word in no category has no edges and shows 0	RelationshipModelTest#categoryWordBidirectional	VERIFIED	
W03	Words	Word/Word_list.html	#activeCount/#unusedCount, #statusFilter	updateSearchInfo	GET /api/words?status=	words.api_words	EXISTS words_paths	Words	Files column	WordsScreen#onShow	RelationshipFacade#wordFileCounts	CorpusDatabase#selectCategoryWordsWithFileCounts	Count shown per row instead of an aggregate tile	FacadeParityTest	ADAPTED	The count column carries the same information as the Active/Unused tiles.
W04	Words	Word/Word_list.html	#sortBtn-word/-usage_count/-status	sortBy	GET /api/words?sort=&order=	words.api_words	ORDER BY	Words	table header	WordsScreen#build	WordFacade#searchWords	in-memory sort of the page	Rows reorder	UiParityTest	ADAPTED	Column sort reorders the rows already loaded in the table; the reference re-queries the server with ORDER BY. Same visible ordering, no round trip.
W05	Words	Word/Word_list.html	#perPage, paginator	renderPaginator	GET /api/words?page=&per_page=	words.api_words	LIMIT OFFSET	Words	perPage, Previous, Next	WordsScreen#onShow	WordFacade#searchWords	CorpusDatabase#searchWords	Page label and rows change	FacadeParityTest	VERIFIED	
W06	Words	Word/Word_list.html	row view (href /words/id)	navigation	GET /words/<id>	words.word_detail	words_paths COUNT	Words	eye button / double-click	WordsScreen#build	RelationshipFacade#categoryWord	CorpusDatabase#selectFilesForWord	Word Detail opens	RelationshipModelTest#categoryWordBidirectional	VERIFIED	
W07	Words	Word/Word_list.html	row edit	editWord, submitWord	PUT /api/words/<id>	words.update_word_api	UPDATE words	Words	pencil button	WordsScreen#build	WordFacade#updateWord	CorpusDatabase#updateWord	Renamed; multi-word refused	RelationshipModelTest#storageInvariants	VERIFIED	
W08	Words	Word/Word_list.html	row delete, bulk delete	deleteWord, bulkDelete	DELETE /api/words/<id>, POST /api/words/bulk-delete	words.delete_word_api, words.bulk_delete	DELETE words	Words	trash, Delete Selected	WordsScreen#build	WordFacade#bulkDeleteWords	CorpusDatabase#deleteWord	Rows removed after confirmation	FacadeParityTest	VERIFIED	
W09	Words	Word/Word_list.html	#bulkUpdateBtn	bulkUpdate	(none)	(none)	(none)	Words	(none)	(none)	(none)	(none)	Nothing happens in the reference	UiParityTest	REFERENCE-INERT	Handler has no route behind it in the reference.
W10	Words	Word/Word_list.html	Add Word modal	openAddWordModal, submitWord	POST /api/words	words.api_words_create	INSERT words	Words	Add Word	WordsScreen#build	WordFacade#createWord	CorpusDatabase#insertWord	New row; multi-word refused	RelationshipModelTest#storageInvariants	VERIFIED	
WD1	Word detail	Word/Word_detail.html	id, usage_count, text	(server-rendered)	GET /words/<id>	words.word_detail	words_paths COUNT	Word Detail	heading, Related Files stat	TermDetailScreen#onShow	RelationshipFacade#categoryWord	CorpusDatabase#countFilesForWord	Word, normalised form, file count	RelationshipModelTest#categoryWordBidirectional	VERIFIED	
WD2	Word detail	Word/Word_detail.html	Edit / Delete	editWord, deleteWord	PUT/DELETE /api/words/<id>	words.update_word_api, words.delete_word_api	UPDATE/DELETE words	Words	pencil / trash	WordsScreen#build	WordFacade#updateWord	CorpusDatabase#updateWord	Handled on the list row	FacadeParityTest	ADAPTED	Edit and delete live on the list row; the detail links back to it.
WD3	Word detail	(none)	(no files or categories in reference)	(none)	(none)	(none)	words_paths, words_categorys	Word Detail	Related Files table; Categories chips	TermDetailScreen#build	RelationshipFacade#categoryWord	CorpusDatabase#selectCategoriesForWord	Files with hits; categories (including the one this word names) with counts	RelationshipModelTest#integrityConsistent	VERIFIED	
CD1	Category detail	(none in reference)	(none)	(none)	(none)	(none)	categorys, words_categorys, keywords, words_paths	Category Detail	heading, stats, Related Terms, Related Files	TermDetailScreen#onShow	RelationshipFacade#category	CorpusDatabase#selectFilesForCategory	Files through words or attribution; keywords; words; each clickable	RelationshipModelTest#categoryBidirectional	ADAPTED	The reference has only a words page for a category. This detail exists because the relation is queryable; it shows only recorded edges.
CD2	Category detail	(none in reference)	(none)	(none)	(none)	(none)	(none)	Category Detail	Manage words	TermDetailScreen#build	FasApp#openCategory	(none)	Categories list opens with this category selected	ArchitectureInvariantsTest#everyControlEndsInAnOperation	VERIFIED	
F01	File detail	file/file_detail.html	Info: Type, Size, Created, Status, Source, Side	(server-rendered)	GET /file/<id>	files.file_detail	paths JOIN hashs JOIN sources JOIN sides	File Detail	File Record grid	FileDetailScreen#onShow	ContentFacade#getPath	CorpusDatabase#selectPathById	Path, name, size, SHA-256, MD5, MIME, type, created, modified, registered, processing status, OCR, review status, source, aspect	UiParityTest#contentValidation	VERIFIED	
F02	File detail	file/file_detail.html	#contentText, #pageJump, goToPage, changePageSize	goToPage, jumpToPage	GET /file/<id>?page=&per_page=	files.file_detail	contents 50000-char pages	File Detail / Full Content	Extracted Text preview; Full Content	FileDetailScreen#onShow	ContentFacade#getContentAsText	CorpusDatabase#selectContentsByPath	First 4000 chars on detail; whole text on Full Content	DestinationCoverageTest	VERIFIED	
F03	File detail	file/file_detail.html	#searchInput, #caseSensitive, #wholeWord, findNext/findPrevious	performSearch, highlightMatches, scrollToMatch	(client-side)	(none)	(none)	Full Content	find field, Find Next	FullContentScreen#build	ContentFacade#getContentAsText	in-memory	Caret moves to the next match	UiParityTest	VERIFIED	
F04	File detail	file/file_detail.html	copyContent, downloadContent, print, toggleFullscreen, shareFile	same	(client-side)	(none)	(none)	Full Content	Copy All	FullContentScreen#build	(clipboard)	(none)	Text on the clipboard	UiParityTest	ADAPTED	Copy is provided; print, share and fullscreen are browser conveniences without a desktop counterpart here.
F05	File detail	file/file_detail.html	Metadata tab #metaName #metaNotes Save	saveMetadata	PUT /api/file/<id>/details	files.api_file_details	UPDATE paths	File Detail	Mark Read / Mark Unread	FileDetailScreen#toggleRead	ContentFacade#setPathStatus	CorpusDatabase#updatePathStatus	Badge flips and persists	UiParityTest#contentValidation	ADAPTED	Review status is the editable field; item notes are engine-side.
F06	File detail	file/file_detail.html	Analysis tab #classificationChart	createClassificationChart	GET /file/<id>/chart-data	files.chart_data	words_paths -> words_categorys -> categorys share	File Detail	Categories chips	FileDetailScreen#onShow	RelationshipFacade#forFile	CorpusDatabase#selectCategoriesForPath	Each category the file reaches, with its whole-case count; click opens Category Detail	RelationshipModelTest#fileDetail	ADAPTED	Shown as a clickable list rather than a pie; the underlying relation is the same.
F07	File detail	file/file_detail.html	Analysis tab Top Keywords #frequencyChart	createFrequencyChart	GET /file/<id>/chart-data	files.chart_data	get_word_frequencies(15) — words, not keywords	File Detail	Category Words chips	FileDetailScreen#onShow	RelationshipFacade#forFile	CorpusDatabase#selectWordsForPath	Vocabulary words present in the file, each with its count	RelationshipModelTest#fileDetail	ADAPTED	The reference's table is word frequency; only vocabulary words are related here, and they are clickable.
F08	File detail	(none)	(keywords_paths not shown in reference)	(none)	(none)	(none)	keywords_paths	File Detail	Keywords chips phrase x hits (N files)	FileDetailScreen#onShow	RelationshipFacade#forFile	CorpusDatabase#selectPathKeywords	Every keyword phrase found in the file; click opens Keyword Detail	RelationshipModelTest#fileDetail	VERIFIED	
F09	File detail	file/file_detail.html	exportFile (/file/id/export?format=pdf)	exportFile	GET /file/<id>/export	files.export	(render)	Import / Export	Export File Registry	ImportExportScreen#build	ExportFacade#exportSearchResultsCsv	(none)	Registry exported as CSV	FacadeParityTest	ADAPTED	Per-file PDF rendering is not offered; the registry and search results export, and native export runs through the engine Exporter.
F10	File detail	file/file_detail.html	Reprocess (/file/id/reprocess)	confirm	GET /file/<id>/reprocess	files.reprocess	re-run pipeline	Error Dashboard	Retry	ErrorDashboardScreen#build	FileProcessingFacade#retryFile	IngestPipeline#retry	Element re-processed; hashes and text recomputed	DestinationCoverageTest#retryElement	VERIFIED	
F11	File detail	file/file_detail.html	Delete (/file/id/delete)	confirm	POST /file/<id>/delete	files.delete	DELETE paths	(none)	(none)	(none)	(none)	(none)	Not offered	ArchitectureInvariantsTest#caseDatabaseIsTheOnlyDatastore	UNSUPPORTED	Evidence is never deleted from a case by design (COVERAGE_MATRIX E04). Deletion would break the hash chain and the audit trail.
F12	File detail	(none)	(none)	(none)	(none)	(none)	(none)	File Detail	Classify	FileDetailScreen#classify	CorpusDatabase#linkPathToCategory	path_category INSERT OR IGNORE	Category chip appears; count on Categories rises	DestinationCoverageTest	VERIFIED	
F13	File detail	(none)	(none)	(none)	(none)	(none)	(none)	File Detail	Open Source / Open Aspect	FileDetailScreen#build	FasApp#openSource	(none)	Source or Aspect Detail opens	ArchitectureInvariantsTest#everyControlEndsInAnOperation	VERIFIED	
S01	Search	Search/search.html	#searchForm #searchQuery	form GET	GET /search?q=	search.search_page	full_text_search: file_name ILIKE OR words_paths JOIN words	Search	query field, Search	SearchScreen#runSearch	SearchFacade#search	LiveCase#searchNow	Ranked results with snippets; total count	EndToEndScenarioTest	VERIFIED	
S02	Search	Search/search.html	#useFuzzy #useExpansion #useBM25 #useAdvanced	getAdvancedSearchOptions, performEnhancedSearch	GET /api/search?use_*	search.api_search	search_service options	Search	type / source / aspect / date / sort filters	SearchScreen#runSearch	SearchFacade#search	LiveCase#searchNow	Results narrowed	EndToEndScenarioTest	ADAPTED	Lucene scoring is BM25 already; fuzzy and expansion are query syntax (~, wildcards) rather than checkboxes.
S03	Search	Search/search.html	result link (href /file/id)	displaySearchResults	GET /file/<id>	files.file_detail	(none)	Search	double-click result row	SearchScreen#build	FasApp#openFile	(none)	File Detail opens	UiParityTest	VERIFIED	
S04	Search	Search/search.html	highlightSearchTerms	(client-side)	line_matches	search_service	(none)	Search	Preview pane	SearchScreen#preview	SearchFacade#search	Lucene highlighter	Matching fragments shown	EndToEndScenarioTest	VERIFIED	
S05	Search	Search/search.html	goToPage	performEnhancedSearch(page)	GET /api/search?page=	search.api_search	LIMIT OFFSET	Search	Previous / Next, perPage	SearchScreen#runSearch	SearchFacade#search	LiveCase#searchNow	Page changes	EndToEndScenarioTest	VERIFIED	
S06	Search	(none)	(match location not reported in reference)	(none)	(none)	(none)	relevance CASE name 2.0 / word 1.0	Search	Search Everywhere table, Matched In column	SearchScreen#runRelationshipSearch	RelationshipFacade#search	CorpusDatabase#selectFilesByNameOrPath, selectFilesByMetadata, selectFilesByContent, selectFilesForKeyword, selectFilesForCategory, selectFilesForWord	One row per file per match type: file name, path, metadata, content, keyword, category, category word	RelationshipModelTest#searchByLocation	VERIFIED	
S07	Search	(none)	(none)	(none)	(none)	(none)	(none)	Search	Scope ComboBox	SearchScreen#runRelationshipSearch	RelationshipFacade#search	(as S06)	Only the chosen scope is searched	RelationshipModelTest#searchEdges	VERIFIED	
S08	Search	(none)	(none)	(none)	(none)	(none)	(none)	Search	Check relationships	SearchScreen#checkRelationships	RelationshipIntegrity#check	CorpusDatabase#selectOrphanEdges	Summary dialog; full report in the preview pane	RelationshipModelTest#integrityDetectsDamage	VERIFIED	
S09	Search	Search/search.html	Save Search	(saved_searches)	POST /api/search/saved	search.saved	INSERT saved_searches	Search	Save Search	SearchScreen#saveSearch	SearchHistoryFacade#saveSearch	CorpusDatabase#insertSavedSearch	Named search appears on Saved Searches	FacadeParityTest	VERIFIED	
S10	Search	Search/search.html	Export	(export)	GET /api/search/export	search.export	CSV render	Search	Export CSV	SearchScreen#exportCsv	ExportFacade#exportSearchResultsCsv	(none)	CSV file written where chosen	FacadeParityTest	VERIFIED	
S11	Search advanced	Search/search_advanced.html	filters, suggestions, history, feelingLucky, export CSV/JSON/Excel	executeAdvancedSearch, displaySuggestions, exportResults	GET /api/search, /api/search/suggestions, /api/search/history	search.api_search	search_service	Advanced Search	Search, Clear, Open in Search	AdvancedSearchScreen#build	SearchFacade#search	LiveCase#searchNow	Filtered results; history recorded; hand-off to Search	UiParityTest	VERIFIED	
S12	Search enhanced	Search/search_enhanced.html	history list	init	GET /api/search/history	search.history	search_history	Saved Searches	history table, Clear History	SavedSearchesScreen#build	SearchHistoryFacade#getHistory	CorpusDatabase#selectHistory	Recent queries listed; clear empties them	FacadeParityTest	VERIFIED	
S13	Saved searches	Search/saved_searches.html	runSearch, editSearch, deleteSearch	same	GET /search/run/<id>, POST /search/delete/<id>	search.run_saved, search.delete_saved	saved_searches	Saved Searches	run / rename / delete row actions	SavedSearchesScreen#build	SearchHistoryFacade#updateSavedSearch	CorpusDatabase#updateSavedSearch	Search opens with the saved query; rename and delete persist	FacadeParityTest	VERIFIED	
S14	Saved searches	Search/saved_searches.html	#alertModal toggleAlert saveAlert	toggleAlert, saveAlert	POST /search/alert/configure	search.alert_configure	(stores flags; no scheduler)	(none)	(none)	(none)	(none)	(none)	Not offered	UiParityTest	REFERENCE-INERT	The reference stores alert flags but nothing ever evaluates or sends them; a control that promises alerts and delivers none is not reproduced.
